"TOKEN";"REFTEXT"
"bmoplot";"BM OPLOT"
"kba3";"KBA-3"
"atgmkombt";"ATGM KOMBAT"
"atgmbar";"ATGM BARRIER"
"130mm";"130mm"
"btr4";"BTR-4"
"ztm1";"ZTM-1"
"3otb";"3rd Tank Brigade"
"su24m_ss";"SU-24M Storm Shadow"
"ssmissile";"Storm Shadow"
"cruise";"Cruise Missile"
"jdam32";"GBU-32 JDAM"
"jdam39";"GBU-39 JDAM"
"su27jd32";"SU-27 (JDAM)"
"su27sead";"SU-27 (SEAD)"
"gpsbobmb";"GPS-Guided Bomb"
"varta";"SBA VARTA"
"ukrinfsq";"Pikhotna Grupa"
"malyuk";"Malyuk"
"spsso";"Spetspidrozdil SSO"
"regs";"Country Registation"
"atgmstug";"Stugna"
"stugnat";"AT Team Stugna"
"javat";"Javelin ATGM"
"javsq";"Javelin Squad"
"trosq";"Territorial Defence"
"mk18";"MK-18"
"M32";"M32 MGL"
"spgur";"Spetspidrozdil GUR"
"armreco";"Armiiska Rozvidka"
"sharkuav";"Shark UAV"
"f35a";"F-35A"
"rafale";"DASSAULT RAFALE-M"
"micar";"MICA-EM"
"120mmmin";"120mm Minomet"
"novatst";"Novator Stugna"
"novatkm";"Komandyrskyi Novator"
"mgm140a";"MGM-140A ATACMS"
"ballmis";"Ballistic Missile"
"m270mgmcl";"M270 ATACMS[CLU]"
